seq_id	kingdom	phylum	class	order	family	genus	species
HM434648.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
HM434650.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
HM434649.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JX827985.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JX827981.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JF863790.1.<1.>630	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JF863787.1.<1.>633	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JF863792.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JX827986.1.<1.>549	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JF863789.1.<1.>621	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JN283744.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JF863788.1.<1.>632	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
HQ545899.1.<1.>636	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
HQ545900.1.<1.>638	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
HM434651.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
DQ353314.1.<1.>1035	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
JX827982.1.<1.>634	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Tatuidris	Tatuidris tatusia
HM373207.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Adetomyrma	Adetomyrma aureocuprea
JF863047.1.<1.>619	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Adetomyrma	Adetomyrma caputleae
JF862990.1.<1.>602	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Adetomyrma	Adetomyrma caputleae
JF863048.1.<1.>620	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Adetomyrma	Adetomyrma caputleae
KR063483.1.<1.>790	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Adetomyrma	Adetomyrma caputleae
JN261821.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Adetomyrma	Adetomyrma cassis
HM435042.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Adetomyrma	Adetomyrma clarivida
JF863008.1.<1.>621	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Adetomyrma	Adetomyrma goblin
JF863009.1.<1.>617	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Adetomyrma	Adetomyrma venatrix
JN306824.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Amblyopone	Amblyopone australis
JN306823.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Amblyopone	Amblyopone australis
JN306822.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Amblyopone	Amblyopone australis
JN306835.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Amblyopone	Amblyopone australis
JN306836.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Amblyopone	Amblyopone australis
PV930584.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Amblyopone	Amblyopone australis
DQ353277.1.<1.>973	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Concoctio	Concoctio concenta
MK770042.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora falcata
MK758188.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora falcata
MK758292.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora falcata
JN289347.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora orizabana
JN289348.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora orizabana
JN289349.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora orizabana
JN289350.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora orizabana
JN289361.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora orizabana
JF863470.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora orizabana
JF863471.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora orizabana
JN289360.1.<1.>630	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Fulakora	Fulakora orizabana
DQ353381.1.<1.>1035	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Myopopone	Myopopone castanea
GU711188.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
JN287961.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
HM373190.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
GU711199.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
GU711190.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
GU711177.1.<1.>658	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
KR063441.1.<1.>790	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
KR063437.1.<1.>790	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
KR063445.1.<1.>790	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
KR063451.1.<1.>790	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Mystrium	Mystrium barrybressleri
