MF736947.1.<1.>588	1887259	species	Zaphne borealis	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43742;43754;30062;1993396;392058;1887259
JX952190.1.<1.>1136	870440	species	Anterastes antitauricus	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33341;6993;6994;2018325;70905;62784;323650;470605;870440
KR591791.1.<1.>606	43737	no rank	Aschiza	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43737
OK347960.1.<1.>620	242808	species	Scarus oviceps	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;1489388;123365;123366;123367;123368;123369;1489872;1489922;1489928;8247;3043427;59660;242808
GU701675.1.<1.>624	1569774	species	Neoneuromus orientalis	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85817;50553;50554;85815;1569766;1569774
MG344573.1.<1.>443	3120983	species	Calpodes placens	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197;37567;104431;40092;40093;40096;2839394;73633;3120983
PP790945.1.<49199.50047	5317	family	Polyporaceae	131567;2759;33154;4751;451864;5204;5302;155619;355688;5303;5317
KR726032.1.<1.>588	1483927	species	Eucnecosum brunnescens	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41085;75543;29026;144867;66542;1483925;1483927
MG059817.1.<1.>564	1309380	species	Ochthebius uniformis	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41085;75543;110044;2962271;174908;1309380
KR144267.1.<1.>628	151312	species	Macrothylacia rubi	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197;37567;104431;37569;7096;151316;151311;151312
MN720308.1.<1.>629	31228	species	Pseudosuccinea columella	131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6447;6448;216305;216307;977775;977779;216441;6521;31227;31228
MT165281.1.<1.>999	41197	parvorder	Heteroneura	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197
KR394294.1.<1.>575	1692336	species	Azelia triquetra	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43742;43754;7366;307266;58282;253977;1692336
KR038269.1.<1.>525	1631363	species	Leucophenga meijerei	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43741;43746;7214;43846;46882;46883;7329;1631363
MF731800.1.<1.>588	611657	species	Smittia edwardsi	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7148;43786;41828;7149;43808;315559;611657
KF200667.1.<1.>274	605728	species	Camponotus nylanderi	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7399;7400;7434;2153479;36668;7479;72773;13390;605728
KR489195.1.<1.>561	1770667	species	Podabrus tricostatus	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41087;71193;41097;433502;186072;1770667
GU663880.1.<1.>658	696404	species	Galba meridensis	131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6447;6448;216305;216307;977775;977779;216441;6521;401861;696404
OQ992095.1.<1.>461	1483082	species	Oxynoemacheilus insignis	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30725;278171;417298;1483082
MG784265.1.<1.>680	7246	species	Drosophila affinis	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43741;43746;7214;43845;46877;7215;32341;32355;32356;7246
KP977936.1.<1.>430	1903275	species	Macoma balthica	131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6447;6544;2785011;6599;735337;2785015;2908833;2783445;98297;52798;52799;1903275
KY207894.1.<1.>627	1414497	species	Paratriacanthodes retrospinis	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;1489388;123365;123366;123367;123368;123369;1489872;1489922;31022;1545896;31026;1414496;1414497
MH626430.1.<1.>655	696403	species	Galba cousini	131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6447;6448;216305;216307;977775;977779;216441;6521;401861;696403
MK978183.1.<1.>657	572776	species	Idaea dimidiata	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197;37567;104431;82592;82593;104442;104446;572776
PP982821.1.<1.>591	3139893	species	Osedax nataliae	131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6340;6341;105389;105391;6362;41324;283775;3139893
KR212208.1.<1.>592	1666667	species	Phtheochroa aegrana	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197;37567;104430;37568;7139;65022;572921;688925;1666667
MK572273.1.<1.>655	182800	species	Labeo angra	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743695;2743697;84644;182800
KY834199.1.<1.>658	315565	species	Orthocladius glabripennis	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7148;43786;41828;7149;43808;288845;315565
KU380404.1.<1.>658	28624	species	Aedes atropalpus	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7148;43786;41827;7157;43817;1056966;7158;1866276;28624
KR165432.1.<1.>591	2683768	species	Aroga mesostrepta	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197;37567;37581;32434;347697;1178186;2683768
MG057093.1.<1.>579	1896613	species	Philhygra palustris	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41085;75543;29026;351509;135860;619357;619411;1896613
EF685040.1.<1.>843	7938	species	Anguilla rostrata	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489340;186624;32521;7933;7934;7935;7938
MF711399.1.<1.>567	2863696	species	Hydrotaea borussica	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43742;43754;7366;307266;58282;221904;2863696
MK305308.1.<1.>654	471059	species	Mechanitis lysimnia	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197;37567;104431;37572;33415;127218;42315;344712;127244;471059
KR770670.1.<1.>638	1870664	species	Leucochlaena oditis	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197;37567;104431;37570;7100;95179;1870663;1870664
KF920077.1.<1.>407	1464790	species	Carsonus irroratus	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33342;7524;1955247;33365;33368;30102;33370;565679;245035;1464790
KR727230.1.<1.>564	185578	species	Anopheles nili	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7148;43786;41827;7157;43816;7164;44534;44536;185573;185574;185578
JQ601520.1.<1.>657	1488985	species	Ulolonche modesta	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;85604;7088;41191;41196;41197;37567;104431;37570;7100;95179;95244;692021;1488985
FJ775269.1.<1.771	407105	species	Parafontaria tonominea	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;61985;7553;118561;71419;382860;1649067;407103;407105
